,User_A,User_B,Type,Source
471,@MimiTexasAngel,@MimiTexasAngel,Tweet,Republican
472,@MimiTexasAngel,@MimiTexasAngel,Tweet,Public
473,@MimiTexasAngel,@US_FDA,Mention,Democratic
474,@MimiTexasAngel,@US_FDA,Mention,Republican
475,@MimiTexasAngel,@US_FDA,Mention,Public
476,@MimiTexasAngel,@MEMRIReports,Reply,Democratic
477,@MimiTexasAngel,@MEMRIReports,Reply,Republican
478,@MimiTexasAngel,@MEMRIReports,Reply,Public
479,@MimiTexasAngel,@JohnKerry,Reply,Democratic
480,@MimiTexasAngel,@JohnKerry,Reply,Republican
481,@MimiTexasAngel,@JohnKerry,Reply,Public
482,@MimiTexasAngel,@ClimateEnvoy,Reply,Democratic
483,@MimiTexasAngel,@ClimateEnvoy,Reply,Republican
484,@MimiTexasAngel,@ClimateEnvoy,Reply,Public
485,@MMPconnect,@MMPconnect,Tweet,Democratic
486,@MMPconnect,@MMPconnect,Tweet,Republican
